id	package	surface	capability	parent	description
pi-agent-documented-contract-framing-c6e7754eb9	agent	documented-contract	durable-harness		Documented contract: Framing (packages/agent/docs/durable-harness.md)
pi-agent-documented-contract-goal-195c0558bc	agent	documented-contract	observability		Documented contract: Goal (packages/agent/docs/observability.md)
pi-agent-documented-contract-harness-config-b1fe014a3d	agent	documented-contract	agent-harness		Documented contract: Harness config (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-harness-usage-49fcfb00bf	agent	documented-contract	hooks		Documented contract: Harness usage (packages/agent/docs/hooks.md)
pi-agent-documented-contract-hooks-and-events-9d88ce42cc	agent	documented-contract	agent-harness		Documented contract: Hooks and events (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-hooks-interface-517d2c1329	agent	documented-contract	hooks		Documented contract: Hooks interface (packages/agent/docs/hooks.md)
pi-agent-documented-contract-implementation-todo-d02742c973	agent	documented-contract	agent-harness		Documented contract: Implementation todo (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-implementation-todos-119bbe07fa	agent	documented-contract	models		Documented contract: Implementation TODOs (packages/agent/docs/models.md)
pi-agent-documented-contract-installation-4e78ec74b1	agent	documented-contract	README		Documented contract: Installation (packages/agent/README.md)
pi-agent-documented-contract-license-3a872aa511	agent	documented-contract	README		Documented contract: License (packages/agent/README.md)
pi-agent-documented-contract-listener-behavior-61cbb408f2	agent	documented-contract	observability		Documented contract: Listener behavior (packages/agent/docs/observability.md)
pi-agent-documented-contract-login-callbacks-8c978c3c21	agent	documented-contract	models		Documented contract: Login callbacks (packages/agent/docs/models.md)
pi-agent-documented-contract-low-level-api-08664ef945	agent	documented-contract	README		Documented contract: Low-Level API (packages/agent/README.md)
pi-agent-documented-contract-mental-model-9426398c50	agent	documented-contract	observability		Documented contract: Mental model (packages/agent/docs/observability.md)
pi-agent-documented-contract-message-flow-039e8d30ce	agent	documented-contract	README		Documented contract: Message Flow (packages/agent/README.md)
pi-agent-documented-contract-methods-5defdad597	agent	documented-contract	README		Documented contract: Methods (packages/agent/README.md)
pi-agent-documented-contract-minimal-instrumentation-points-eff54b9a57	agent	documented-contract	observability		Documented contract: Minimal instrumentation points (packages/agent/docs/observability.md)
pi-agent-documented-contract-minimum-viable-spike-564bbeb463	agent	documented-contract	durable-harness		Documented contract: Minimum viable spike (packages/agent/docs/durable-harness.md)
pi-agent-documented-contract-mutation-semantics-73c5063bae	agent	documented-contract	hooks		Documented contract: Mutation semantics (packages/agent/docs/hooks.md)
pi-agent-documented-contract-name-collision-885f6d63e5	agent	documented-contract	models		Documented contract: Name collision (packages/agent/docs/models.md)
pi-agent-documented-contract-oauth-attachment-90643ef9e7	agent	documented-contract	models		Documented contract: OAuth attachment (packages/agent/docs/models.md)
pi-agent-documented-contract-observation-9c407bd681	agent	documented-contract	hooks		Documented contract: Observation (packages/agent/docs/hooks.md)
pi-agent-documented-contract-open-questions-e416e297de	agent	documented-contract	durable-harness		Documented contract: Open questions (packages/agent/docs/durable-harness.md)
pi-agent-documented-contract-operation-phases-38dd930b77	agent	documented-contract	agent-harness		Documented contract: Operation phases (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-package-layout-62d7376ef7	agent	documented-contract	models		Documented contract: Package layout (packages/agent/docs/models.md)
pi-agent-documented-contract-package-story-06e29a8f44	agent	documented-contract	observability		Documented contract: Package story (packages/agent/docs/observability.md)
pi-agent-documented-contract-packages-agent-cb2cda26a3	agent	documented-contract	observability		Documented contract: packages/agent (packages/agent/docs/observability.md)
pi-agent-documented-contract-packages-ai-a2bf424048	agent	documented-contract	observability		Documented contract: packages/ai (packages/agent/docs/observability.md)
pi-agent-documented-contract-pending-session-writes-3eba2874d4	agent	documented-contract	agent-harness		Documented contract: Pending session writes (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-pending-writes-d33fc6f5fc	agent	documented-contract	durable-harness		Documented contract: Pending writes (packages/agent/docs/durable-harness.md)
pi-agent-documented-contract-phase-1-core-types-runtime-857167f552	agent	documented-contract	models		Documented contract: Phase 1 — core types/runtime (packages/agent/docs/models.md)
pi-agent-documented-contract-phase-10-compat-deletion-pi-2-0-era-separate-8aaad8c4c5	agent	documented-contract	models		Documented contract: Phase 10 — compat deletion (pi 2.0 era, separate) (packages/agent/docs/models.md)
pi-agent-documented-contract-phase-2-src-api-71f4da53e8	agent	documented-contract	models		Documented contract: Phase 2 — `src/api/` (packages/agent/docs/models.md)
pi-agent-documented-contract-phase-3-provider-factories-catalogs-ad832ab1ef	agent	documented-contract	models		Documented contract: Phase 3 — provider factories + catalogs (packages/agent/docs/models.md)
pi-agent-documented-contract-phase-4-oauth-adaptation-ee16a99676	agent	documented-contract	models		Documented contract: Phase 4 — OAuth adaptation (packages/agent/docs/models.md)
pi-agent-documented-contract-phase-5-packaging-ee1bf5144b	agent	documented-contract	models		Documented contract: Phase 5 — packaging (packages/agent/docs/models.md)
pi-agent-documented-contract-phase-6-agentharness-5533b959a9	agent	documented-contract	models		Documented contract: Phase 6 — AgentHarness (packages/agent/docs/models.md)
pi-agent-documented-contract-phase-7-coding-agent-bridge-minimal-9002cfe0ec	agent	documented-contract	models		Documented contract: Phase 7 — coding-agent bridge (minimal) (packages/agent/docs/models.md)
