id	package	surface	capability	parent	description
pi-coding-agent-test-scenario-executes-multiple-tool-calls-from-one-response-a-2e3a3a7ec1	coding-agent	test-scenario	suite		executes multiple tool calls from one response and continues with a single follow-up response (packages/coding-agent/test/suite/agent-session-prompt.test.ts:80)
pi-coding-agent-test-scenario-exhausts-max-retries-and-emits-a-failure-event-e25f4421ea	coding-agent	test-scenario	suite		exhausts max retries and emits a failure event (packages/coding-agent/test/suite/agent-session-retry-events.test.ts:76)
pi-coding-agent-test-scenario-exhausts-max-retries-and-emits-failure-e245906a47	coding-agent	test-scenario	agent-session-retry.test		exhausts max retries and emits failure (packages/coding-agent/test/agent-session-retry.test.ts:147)
pi-coding-agent-test-scenario-expands-only-home-tilde-shortcuts-5335f12974	coding-agent	test-scenario	paths.test		expands only home tilde shortcuts (packages/coding-agent/test/paths.test.ts:78)
pi-coding-agent-test-scenario-expands-prompt-templates-before-sending-the-prom-fc7caea8a3	coding-agent	test-scenario	suite		expands prompt templates before sending the prompt (packages/coding-agent/test/suite/agent-session-prompt.test.ts:194)
pi-coding-agent-test-scenario-expands-skill-commands-before-sending-the-prompt-673eb5c4b0	coding-agent	test-scenario	suite		expands skill commands before sending the prompt (packages/coding-agent/test/suite/agent-session-prompt.test.ts:147)
pi-coding-agent-test-scenario-explicit-provider-with-custom-model-thinking-str-6ccaaff716	coding-agent	test-scenario	model-resolver.test		explicit --provider with custom model:thinking strips suffix correctly (packages/coding-agent/test/model-resolver.test.ts:552)
pi-coding-agent-test-scenario-exports-with-the-active-fallback-theme-when-the--321c7d1c42	coding-agent	test-scenario	suite		exports with the active fallback theme when the configured theme is missing (packages/coding-agent/test/suite/regressions/5596-missing-theme-export.test.ts:26)
pi-coding-agent-test-scenario-exposes-args-in-render-result-context-92ce5ed7c6	coding-agent	test-scenario	tool-execution-component.test		exposes args in render result context (packages/coding-agent/test/tool-execution-component.test.ts:325)
pi-coding-agent-test-scenario-exposes-print-mode-and-hasui-false-by-default-27654f499b	coding-agent	test-scenario	extensions-runner.test		exposes print mode and hasUI false by default (packages/coding-agent/test/extensions-runner.test.ts:490)
pi-coding-agent-test-scenario-exposes-project-trust-state-on-extensioncontext-58b7855877	coding-agent	test-scenario	extensions-runner.test		exposes project trust state on ExtensionContext (packages/coding-agent/test/extensions-runner.test.ts:500)
pi-coding-agent-test-scenario-exposes-rpc-mode-with-hasui-true-when-an-rpc-ui--8d5550a04c	coding-agent	test-scenario	extensions-runner.test		exposes rpc mode with hasUI true when an RPC UI context is provided (packages/coding-agent/test/extensions-runner.test.ts:512)
pi-coding-agent-test-scenario-exposes-the-current-abort-signal-on-extensioncon-c8cc637160	coding-agent	test-scenario	extensions-runner.test		exposes the current abort signal on ExtensionContext (packages/coding-agent/test/extensions-runner.test.ts:472)
pi-coding-agent-test-scenario-exposes-the-current-context-usage-alongside-toke-d72c889eb1	coding-agent	test-scenario	agent-session-stats.test		exposes the current context usage alongside token totals (packages/coding-agent/test/agent-session-stats.test.ts:81)
pi-coding-agent-test-scenario-exposes-tui-mode-with-hasui-true-when-a-tui-ui-c-178161c27d	coding-agent	test-scenario	extensions-runner.test		exposes tui mode with hasUI true when a TUI UI context is provided (packages/coding-agent/test/extensions-runner.test.ts:523)
pi-coding-agent-test-scenario-extracts-correct-path-from-branched-tree-0c788f2e84	coding-agent	test-scenario	session-manager		extracts correct path from branched tree (packages/coding-agent/test/session-manager/tree-traversal.test.ts:443)
pi-coding-agent-test-scenario-extracts-multiple-done-markers-b15e8b787e	coding-agent	test-scenario	plan-mode-utils.test		extracts multiple DONE markers (packages/coding-agent/test/plan-mode-utils.test.ts:202)
pi-coding-agent-test-scenario-extracts-numbered-items-after-plan-header-ad91f1a9fe	coding-agent	test-scenario	plan-mode-utils.test		extracts numbered items after Plan: header (packages/coding-agent/test/plan-mode-utils.test.ts:135)
pi-coding-agent-test-scenario-extracts-single-done-marker-785b720252	coding-agent	test-scenario	plan-mode-utils.test		extracts single DONE marker (packages/coding-agent/test/plan-mode-utils.test.ts:197)
pi-coding-agent-test-scenario-failed-commands-are-cached-not-retried-e01a0fdcdd	coding-agent	test-scenario	auth-storage.test		failed commands are cached (not retried) (packages/coding-agent/test/auth-storage.test.ts:432)
pi-coding-agent-test-scenario-failed-commands-are-retried-444d7f4569	coding-agent	test-scenario	model-registry.test		failed commands are retried (packages/coding-agent/test/model-registry.test.ts:1533)
pi-coding-agent-test-scenario-failed-registerprovider-does-not-persist-invalid-fcbc257432	coding-agent	test-scenario	model-registry.test		failed registerProvider does not persist invalid streamSimple config (packages/coding-agent/test/model-registry.test.ts:1026)
pi-coding-agent-test-scenario-failed-registerprovider-does-not-remove-existing-4b123ec304	coding-agent	test-scenario	model-registry.test		failed registerProvider does not remove existing provider models (packages/coding-agent/test/model-registry.test.ts:1040)
pi-coding-agent-test-scenario-fails-self-update-when-renamed-npm-package-insta-11b10124f2	coding-agent	test-scenario	package-command-paths.test		fails self-update when renamed npm package installation fails (packages/coding-agent/test/package-command-paths.test.ts:630)
pi-coding-agent-test-scenario-falls-back-to-environment-hints-when-the-termina-6f0da3ba0b	coding-agent	test-scenario	theme-detection.test		falls back to environment hints when the terminal query fails (packages/coding-agent/test/theme-detection.test.ts:83)
pi-coding-agent-test-scenario-falls-back-to-environment-hints-when-the-termina-a41df03d76	coding-agent	test-scenario	theme-detection.test		falls back to environment hints when the terminal query returns no color (packages/coding-agent/test/theme-detection.test.ts:65)
pi-coding-agent-test-scenario-falls-back-to-the-next-require-root-d57870a352	coding-agent	test-scenario	clipboard-native.test		falls back to the next require root (packages/coding-agent/test/clipboard-native.test.ts:13)
pi-coding-agent-test-scenario-falls-back-to-the-raw-path-for-a-dangling-symlin-a46842f429	coding-agent	test-scenario	paths.test		falls back to the raw path for a dangling symlink (packages/coding-agent/test/paths.test.ts:54)
pi-coding-agent-test-scenario-falls-back-to-the-raw-path-when-the-target-does--e54ad7f676	coding-agent	test-scenario	paths.test		falls back to the raw path when the target does not exist (packages/coding-agent/test/paths.test.ts:48)
pi-coding-agent-test-scenario-falls-back-when-custom-renderers-are-absent-b010e5bfdf	coding-agent	test-scenario	tool-execution-component.test		falls back when custom renderers are absent (packages/coding-agent/test/tool-execution-component.test.ts:347)
pi-coding-agent-test-scenario-file-processor-omits-image-attachments-when-auto-dcaad52969	coding-agent	test-scenario	image-resize-callers.test		file processor omits image attachments when auto-resize cannot produce a safe image (packages/coding-agent/test/image-resize-callers.test.ts:44)
pi-coding-agent-test-scenario-filter-mode-change-resets-fold-state-22fc7c90f4	coding-agent	test-scenario	tree-selector.test		filter mode change resets fold state (packages/coding-agent/test/tree-selector.test.ts:649)
pi-coding-agent-test-scenario-filters-built-in-and-extension-tools-from-availa-b251f3a99b	coding-agent	test-scenario	suite		filters built-in and extension tools from available and active tools (packages/coding-agent/test/suite/regressions/5109-exclude-tools.test.ts:40)
pi-coding-agent-test-scenario-filters-by-quoted-phrase-with-whitespace-normali-c255dc2e38	coding-agent	test-scenario	session-selector-search.test		filters by quoted phrase with whitespace normalization (packages/coding-agent/test/session-selector-search.test.ts:22)
pi-coding-agent-test-scenario-filters-by-regex-re-and-is-case-insensitive-7e5c0876ef	coding-agent	test-scenario	session-selector-search.test		filters by regex (re:) and is case-insensitive (packages/coding-agent/test/session-selector-search.test.ts:40)
pi-coding-agent-test-scenario-filters-most-recent-session-by-cwd-7af722e10f	coding-agent	test-scenario	session-manager		filters most recent session by cwd (packages/coding-agent/test/session-manager/file-operations.test.ts:158)
pi-coding-agent-test-scenario-filters-newlines-when-agentsession-setsessionnam-ec9216e852	coding-agent	test-scenario	suite		filters newlines when AgentSession.setSessionName is called (packages/coding-agent/test/suite/regressions/5996-session-name-newlines.test.ts:14)
pi-coding-agent-test-scenario-filters-newlines-when-an-extension-calls-pi-sets-a450b96fbf	coding-agent	test-scenario	suite		filters newlines when an extension calls pi.setSessionName (packages/coding-agent/test/suite/regressions/5996-session-name-newlines.test.ts:24)
pi-coding-agent-test-scenario-filters-out-code-like-items-c57eb9f21c	coding-agent	test-scenario	plan-mode-utils.test		filters out code-like items (packages/coding-agent/test/plan-mode-utils.test.ts:186)
pi-coding-agent-test-scenario-filters-out-short-items-5bd811c1a7	coding-agent	test-scenario	plan-mode-utils.test		filters out short items (packages/coding-agent/test/plan-mode-utils.test.ts:176)
pi-coding-agent-test-scenario-findinitialmodel-accepts-explicit-provider-custo-7b4fa7fa5f	coding-agent	test-scenario	model-resolver.test		findInitialModel accepts explicit provider custom model ids (packages/coding-agent/test/model-resolver.test.ts:607)
pi-coding-agent-test-scenario-findinitialmodel-ignores-an-unauthenticated-save-2339420f4c	coding-agent	test-scenario	model-resolver.test		findInitialModel ignores an unauthenticated saved default (packages/coding-agent/test/model-resolver.test.ts:652)
pi-coding-agent-test-scenario-findinitialmodel-selects-ai-gateway-default-when-8e804ccb75	coding-agent	test-scenario	model-resolver.test		findInitialModel selects ai-gateway default when available (packages/coding-agent/test/model-resolver.test.ts:624)
pi-coding-agent-test-scenario-focuses-nearest-visible-ancestor-when-currentlea-3a16170a8f	coding-agent	test-scenario	tree-selector.test		focuses nearest visible ancestor when currentLeafId is a thinking_level_change entry (packages/coding-agent/test/tree-selector.test.ts:159)
pi-coding-agent-test-scenario-focuses-nearest-visible-ancestor-when-currentlea-afb8a5cc2d	coding-agent	test-scenario	tree-selector.test		focuses nearest visible ancestor when currentLeafId is a model_change with sibling branch (packages/coding-agent/test/tree-selector.test.ts:130)
pi-coding-agent-test-scenario-fold-and-navigate-on-non-active-branch-871e86b80a	coding-agent	test-scenario	tree-selector.test		fold and navigate on non-active branch (packages/coding-agent/test/tree-selector.test.ts:512)
pi-coding-agent-test-scenario-fold-and-navigate-with-multiple-roots-2b70059aeb	coding-agent	test-scenario	tree-selector.test		fold and navigate with multiple roots (packages/coding-agent/test/tree-selector.test.ts:547)
pi-coding-agent-test-scenario-folding-root-hides-descendants-even-when-interme-a9f39a25fc	coding-agent	test-scenario	tree-selector.test		folding root hides descendants even when intermediate nodes are filtered out (packages/coding-agent/test/tree-selector.test.ts:588)
pi-coding-agent-test-scenario-folding-root-hides-entire-subtree-nested-fold-pr-144de818fc	coding-agent	test-scenario	tree-selector.test		folding root hides entire subtree, nested fold preserved on unfold (packages/coding-agent/test/tree-selector.test.ts:476)
pi-coding-agent-test-scenario-folds-top-level-oldtext-newtext-into-edits-919f08790e	coding-agent	test-scenario	edit-tool-legacy-input.test		folds top-level oldText/newText into edits (packages/coding-agent/test/edit-tool-legacy-input.test.ts:27)
pi-coding-agent-test-scenario-follows-path-to-specified-leaf-6099b7a83a	coding-agent	test-scenario	session-manager		follows path to specified leaf (packages/coding-agent/test/session-manager/build-context.test.ts:212)
pi-coding-agent-test-scenario-formats-the-user-agent-expected-by-pi-dev-e92ca9a0b2	coding-agent	test-scenario	pi-user-agent.test		formats the user agent expected by pi.dev (packages/coding-agent/test/pi-user-agent.test.ts:5)
pi-coding-agent-test-scenario-forwards-httpidletimeoutms-as-timeoutms-for-open-594dcf9d11	coding-agent	test-scenario	sdk-stream-options.test		forwards httpIdleTimeoutMs as timeoutMs for OpenAI Codex (packages/coding-agent/test/sdk-stream-options.test.ts:116)
pi-coding-agent-test-scenario-forwards-websocketconnecttimeoutms-from-settings-4153e607c3	coding-agent	test-scenario	sdk-stream-options.test		forwards websocketConnectTimeoutMs from settings (packages/coding-agent/test/sdk-stream-options.test.ts:138)
pi-coding-agent-test-scenario-generates-a-tracking-identifier-on-opt-in-0ae3df8fdd	coding-agent	test-scenario	first-time-setup.test		generates a tracking identifier on opt-in (packages/coding-agent/test/first-time-setup.test.ts:67)
pi-coding-agent-test-scenario-generates-a-uuidv7-id-when-constructed-without-a-fb9fe6e27d	coding-agent	test-scenario	session-manager		generates a UUIDv7 id when constructed without an explicit id (packages/coding-agent/test/session-manager/custom-session-id.test.ts:67)
pi-coding-agent-test-scenario-generates-a-uuidv7-id-when-creating-a-branched-s-23546dbe2e	coding-agent	test-scenario	session-manager		generates a UUIDv7 id when creating a branched session (packages/coding-agent/test/session-manager/custom-session-id.test.ts:85)
pi-coding-agent-test-scenario-generates-a-uuidv7-id-when-forking-from-another--90b9d73bf2	coding-agent	test-scenario	session-manager		generates a UUIDv7 id when forking from another session file (packages/coding-agent/test/session-manager/custom-session-id.test.ts:99)
pi-coding-agent-test-scenario-generates-a-uuidv7-id-when-no-id-is-provided-a8e371186e	coding-agent	test-scenario	session-manager		generates a UUIDv7 id when no id is provided (packages/coding-agent/test/session-manager/custom-session-id.test.ts:40)
pi-coding-agent-test-scenario-generates-a-uuidv7-id-when-options-is-provided-w-d0e496b2f8	coding-agent	test-scenario	session-manager		generates a UUIDv7 id when options is provided without id (packages/coding-agent/test/session-manager/custom-session-id.test.ts:49)
pi-coding-agent-test-scenario-getapikeyandheaders-resolves-authheader-on-every-798e408d84	coding-agent	test-scenario	model-registry.test		getApiKeyAndHeaders resolves authHeader on every request (packages/coding-agent/test/model-registry.test.ts:1736)
pi-coding-agent-test-scenario-getapikeyandheaders-returns-an-error-for-failed--c1b094741f	coding-agent	test-scenario	model-registry.test		getApiKeyAndHeaders returns an error for failed authHeader resolution (packages/coding-agent/test/model-registry.test.ts:1769)
pi-coding-agent-test-scenario-getavailable-does-not-execute-command-backed-api-773c4237c8	coding-agent	test-scenario	model-registry.test		getAvailable does not execute command-backed apiKey resolution (packages/coding-agent/test/model-registry.test.ts:1699)
pi-coding-agent-test-scenario-getavailable-filters-github-copilot-oauth-models-7bc54832cf	coding-agent	test-scenario	model-registry.test		getAvailable filters GitHub Copilot OAuth models to account picker availability (packages/coding-agent/test/model-registry.test.ts:1717)
pi-coding-agent-test-scenario-getproviderdisplayname-resolves-registered-oauth-8044b0ebf7	coding-agent	test-scenario	model-registry.test		getProviderDisplayName resolves registered, OAuth, built-in, and fallback names (packages/coding-agent/test/model-registry.test.ts:890)
pi-coding-agent-test-scenario-gets-command-by-invocation-name-e7f74d4c85	coding-agent	test-scenario	extensions-runner.test		gets command by invocation name (packages/coding-agent/test/extensions-runner.test.ts:420)
pi-coding-agent-test-scenario-gets-entry-renderer-by-type-5bea21730f	coding-agent	test-scenario	extensions-runner.test		gets entry renderer by type (packages/coding-agent/test/extensions-runner.test.ts:582)
pi-coding-agent-test-scenario-gets-message-renderer-by-type-f83a044ee0	coding-agent	test-scenario	extensions-runner.test		gets message renderer by type (packages/coding-agent/test/extensions-runner.test.ts:564)
pi-coding-agent-test-scenario-gpt-4o-extended-matches-the-extended-model-with--9a4e1b435a	coding-agent	test-scenario	model-resolver.test		gpt-4o:extended matches the extended model with undefined thinking level (packages/coding-agent/test/model-resolver.test.ts:167)
pi-coding-agent-test-scenario-gpt-4o-invalid-returns-gpt-4o-with-undefined-thi-543c4d716a	coding-agent	test-scenario	model-resolver.test		gpt-4o:invalid returns gpt-4o with undefined thinking level and warning (packages/coding-agent/test/model-resolver.test.ts:128)
pi-coding-agent-test-scenario-gpt-4o-medium-returns-gpt-4o-with-medium-thinkin-5b633e642d	coding-agent	test-scenario	model-resolver.test		gpt-4o:medium returns gpt-4o with medium thinking level (packages/coding-agent/test/model-resolver.test.ts:102)
pi-coding-agent-test-scenario-handles-a-tool-call-turn-and-waits-for-the-follo-e90dc99a16	coding-agent	test-scenario	suite		handles a tool call turn and waits for the follow-up LLM response (packages/coding-agent/test/suite/agent-session-prompt.test.ts:43)
pi-coding-agent-test-scenario-handles-bold-plan-header-6e91ebebf6	coding-agent	test-scenario	plan-mode-utils.test		handles bold Plan header (packages/coding-agent/test/plan-mode-utils.test.ts:150)
pi-coding-agent-test-scenario-handles-case-insensitivity-6004db7826	coding-agent	test-scenario	plan-mode-utils.test		handles case insensitivity (packages/coding-agent/test/plan-mode-utils.test.ts:207)
pi-coding-agent-test-scenario-handles-commands-with-leading-whitespace-e3ba92c0f6	coding-agent	test-scenario	plan-mode-utils.test		handles commands with leading whitespace (packages/coding-agent/test/plan-mode-utils.test.ts:94)
pi-coding-agent-test-scenario-handles-compaction-keeping-from-first-message-33b43cc842	coding-agent	test-scenario	session-manager		handles compaction keeping from first message (packages/coding-agent/test/session-manager/build-context.test.ts:148)
pi-coding-agent-test-scenario-handles-crlf-delimited-input-99438ba48b	coding-agent	test-scenario	rpc-jsonl.test		handles CRLF-delimited input (packages/coding-agent/test/rpc-jsonl.test.ts:32)
pi-coding-agent-test-scenario-handles-deep-branching-1e0605c910	coding-agent	test-scenario	session-manager		handles deep branching (packages/coding-agent/test/session-manager/tree-traversal.test.ts:246)
pi-coding-agent-test-scenario-handles-empty-ours-or-theirs-sections-5ca4b14296	coding-agent	test-scenario	git-merge-and-resolve-extension.test		handles empty ours or theirs sections (packages/coding-agent/test/git-merge-and-resolve-extension.test.ts:177)
pi-coding-agent-test-scenario-handles-explicitly-configured-paths-94f6cccf22	coding-agent	test-scenario	extensions-discovery.test		handles explicitly configured paths (packages/coding-agent/test/extensions-discovery.test.ts:313)
pi-coding-agent-test-scenario-handles-mixed-direct-files-and-subdirectories-6d7997b3f0	coding-agent	test-scenario	extensions-discovery.test		handles mixed direct files and subdirectories (packages/coding-agent/test/extensions-discovery.test.ts:242)
pi-coding-agent-test-scenario-handles-multiple-branches-at-same-point-cff6958a6d	coding-agent	test-scenario	session-manager		handles multiple branches at same point (packages/coding-agent/test/session-manager/tree-traversal.test.ts:219)
pi-coding-agent-test-scenario-handles-orphaned-entries-gracefully-72fecbfbbd	coding-agent	test-scenario	session-manager		handles orphaned entries gracefully (packages/coding-agent/test/session-manager/build-context.test.ts:295)
pi-coding-agent-test-scenario-handles-parenthesis-style-numbering-a43ada4b20	coding-agent	test-scenario	plan-mode-utils.test		handles parenthesis-style numbering (packages/coding-agent/test/plan-mode-utils.test.ts:158)
pi-coding-agent-test-scenario-hashandlers-returns-correct-value-afa08502b2	coding-agent	test-scenario	extensions-input-event.test		hasHandlers returns correct value (packages/coding-agent/test/extensions-input-event.test.ts:118)
pi-coding-agent-test-scenario-headers-only-override-keeps-custom-provider-mode-57da10943d	coding-agent	test-scenario	model-registry.test		headers-only override keeps custom provider models after refresh (packages/coding-agent/test/model-registry.test.ts:1213)
pi-coding-agent-test-scenario-headers-only-override-resolves-at-request-time-e19cb577ce	coding-agent	test-scenario	model-registry.test		headers-only override resolves at request time (packages/coding-agent/test/model-registry.test.ts:145)
pi-coding-agent-test-scenario-highlights-code-through-highlight-js-77f011206b	coding-agent	test-scenario	syntax-highlight.test		highlights code through highlight.js (packages/coding-agent/test/syntax-highlight.test.ts:37)
pi-coding-agent-test-scenario-honors-session-before-switch-cancellation-add22aa29e	coding-agent	test-scenario	agent-session-runtime-events.test		honors session_before_switch cancellation (packages/coding-agent/test/agent-session-runtime-events.test.ts:136)
pi-coding-agent-test-scenario-honors-session-before-switch-cancellation-for-ne-972e6b05e8	coding-agent	test-scenario	suite		honors session_before_switch cancellation for new and resume (packages/coding-agent/test/suite/agent-session-runtime.test.ts:209)
pi-coding-agent-test-scenario-ignores-empty-values-a408d32040	coding-agent	test-scenario	http-dispatcher.test		ignores empty values (packages/coding-agent/test/http-dispatcher.test.ts:47)
pi-coding-agent-test-scenario-ignores-jsonl-files-without-valid-session-header-1c6ecccc5a	coding-agent	test-scenario	session-manager		ignores jsonl files without valid session header (packages/coding-agent/test/session-manager/file-operations.test.ts:124)
pi-coding-agent-test-scenario-ignores-malformed-markers-8118c7b64d	coding-agent	test-scenario	plan-mode-utils.test		ignores malformed markers (packages/coding-agent/test/plan-mode-utils.test.ts:217)
pi-coding-agent-test-scenario-ignores-markers-for-non-existent-steps-1c5fc39833	coding-agent	test-scenario	plan-mode-utils.test		ignores markers for non-existent steps (packages/coding-agent/test/plan-mode-utils.test.ts:246)
pi-coding-agent-test-scenario-ignores-non-jsonl-files-b8d7ea21e9	coding-agent	test-scenario	session-manager		ignores non-jsonl files (packages/coding-agent/test/session-manager/file-operations.test.ts:118)
pi-coding-agent-test-scenario-ignores-output-callbacks-after-bash-operations-r-33a5b40e0a	coding-agent	test-scenario	suite		ignores output callbacks after bash operations resolve (packages/coding-agent/test/suite/regressions/5208-late-bash-output.test.ts:14)
pi-coding-agent-test-scenario-ignores-package-json-without-pi-field-falls-back-49b5bf8483	coding-agent	test-scenario	extensions-discovery.test		ignores package.json without pi field, falls back to index.ts (packages/coding-agent/test/extensions-discovery.test.ts:197)
pi-coding-agent-test-scenario-ignores-stale-pre-compaction-assistant-usage-on--1a5f17cd0f	coding-agent	test-scenario	suite		ignores stale pre-compaction assistant usage on pre-prompt checks (packages/coding-agent/test/suite/agent-session-compaction.test.ts:290)
pi-coding-agent-test-scenario-ignores-subdirectory-without-index-or-package-js-7c8f81efba	coding-agent	test-scenario	extensions-discovery.test		ignores subdirectory without index or package.json (packages/coding-agent/test/extensions-discovery.test.ts:216)
pi-coding-agent-test-scenario-ignores-untrusted-project-package-installs-for-h-5c3e2388ed	coding-agent	test-scenario	stdout-cleanliness.test		ignores untrusted project package installs for help (packages/coding-agent/test/stdout-cleanliness.test.ts:119)
pi-coding-agent-test-scenario-ignores-zero-usage-messages-when-checking-for-po-9f8168533d	coding-agent	test-scenario	agent-session-stats.test		ignores zero-usage messages when checking for post-compaction context usage (packages/coding-agent/test/agent-session-stats.test.ts:144)
pi-coding-agent-test-scenario-includes-all-default-tools-when-snippets-are-pro-39eee03d4a	coding-agent	test-scenario	system-prompt.test		includes all default tools when snippets are provided (packages/coding-agent/test/system-prompt.test.ts:30)
pi-coding-agent-test-scenario-includes-branch-summary-in-path-798bcdd3d4	coding-agent	test-scenario	session-manager		includes branch summary in path (packages/coding-agent/test/session-manager/build-context.test.ts:232)
pi-coding-agent-test-scenario-includes-custom-tools-in-available-tools-section-0c52aa588f	coding-agent	test-scenario	system-prompt.test		includes custom tools in available tools section when promptSnippet is provided (packages/coding-agent/test/system-prompt.test.ts:63)
pi-coding-agent-test-scenario-includes-summary-before-kept-messages-5bf66374fd	coding-agent	test-scenario	session-manager		includes summary before kept messages (packages/coding-agent/test/session-manager/build-context.test.ts:127)
pi-coding-agent-test-scenario-includes-the-custom-id-in-the-session-header-cef2d695fc	coding-agent	test-scenario	session-manager		includes the custom id in the session header (packages/coding-agent/test/session-manager/custom-session-id.test.ts:58)
pi-coding-agent-test-scenario-includes-unquoted-safe-session-dirs-for-non-defa-8d3fc39be4	coding-agent	test-scenario	format-resume-command.test		includes unquoted safe session dirs for non-default session dirs (packages/coding-agent/test/format-resume-command.test.ts:61)
pi-coding-agent-test-scenario-inherits-missing-built-in-call-renderer-slot-fro-06f73d3de2	coding-agent	test-scenario	tool-execution-component.test		inherits missing built-in call renderer slot from the built-in tool (packages/coding-agent/test/tool-execution-component.test.ts:231)
pi-coding-agent-test-scenario-inherits-missing-built-in-result-renderer-slot-f-dd4a1781c0	coding-agent	test-scenario	tool-execution-component.test		inherits missing built-in result renderer slot from the built-in tool (packages/coding-agent/test/tool-execution-component.test.ts:209)
pi-coding-agent-test-scenario-inherits-parent-formatting-for-unmapped-nested-s-c2947ab00c	coding-agent	test-scenario	syntax-highlight.test		inherits parent formatting for unmapped nested scopes (packages/coding-agent/test/syntax-highlight.test.ts:19)
pi-coding-agent-test-scenario-injects-nextturn-custom-messages-into-the-next-p-6502bf6309	coding-agent	test-scenario	suite		injects nextTurn custom messages into the next prompt (packages/coding-agent/test/suite/agent-session-queue.test.ts:328)
pi-coding-agent-test-scenario-inserts-branch-summary-and-advances-leaf-6dcf050d30	coding-agent	test-scenario	session-manager		inserts branch summary and advances leaf (packages/coding-agent/test/session-manager/tree-traversal.test.ts:315)
pi-coding-agent-test-scenario-installs-the-active-package-name-from-the-update-7a45b6e69d	coding-agent	test-scenario	package-command-paths.test		installs the active package name from the update check during self-update (packages/coding-agent/test/package-command-paths.test.ts:535)
pi-coding-agent-test-scenario-instructs-models-to-resolve-pi-docs-and-examples-07c774bd8a	coding-agent	test-scenario	system-prompt.test		instructs models to resolve pi docs and examples under absolute base paths (packages/coding-agent/test/system-prompt.test.ts:49)
pi-coding-agent-test-scenario-interactive-quit-prints-a-resume-hint-for-persis-e98202c4c1	coding-agent	test-scenario	suite		interactive quit prints a resume hint for persisted sessions (packages/coding-agent/test/suite/regressions/5080-signal-shutdown-extension-cleanup.test.ts:135)
pi-coding-agent-test-scenario-interactive-quit-stops-the-tui-before-emitting-s-a21118a60f	coding-agent	test-scenario	suite		interactive quit stops the TUI before emitting session_shutdown (packages/coding-agent/test/suite/regressions/5080-signal-shutdown-extension-cleanup.test.ts:123)
pi-coding-agent-test-scenario-invalid-thinking-suffix-on-custom-model-is-treat-400c1a09a0	coding-agent	test-scenario	model-resolver.test		invalid thinking suffix on custom model is treated as part of model id (packages/coding-agent/test/model-resolver.test.ts:535)
pi-coding-agent-test-scenario-isolates-a-throwing-handler-and-still-applies-th-c3cb95c684	coding-agent	test-scenario	extensions-runner.test		isolates a throwing handler and still applies the others (packages/coding-agent/test/extensions-runner.test.ts:931)
pi-coding-agent-test-scenario-keeps-all-lines-within-width-for-wide-session-na-88b430887b	coding-agent	test-scenario	footer-width.test		keeps all lines within width for wide session names (packages/coding-agent/test/footer-width.test.ts:93)
pi-coding-agent-test-scenario-keeps-an-explicit-sessionmanager-override-adbdcf03cd	coding-agent	test-scenario	sdk-session-manager.test		keeps an explicit sessionManager override (packages/coding-agent/test/sdk-session-manager.test.ts:49)
pi-coding-agent-test-scenario-keeps-built-in-api-key-providers-separate-from-o-f229a58538	coding-agent	test-scenario	oauth-selector.test		keeps built-in API key providers separate from OAuth-only providers (packages/coding-agent/test/oauth-selector.test.ts:30)
pi-coding-agent-test-scenario-keeps-cli-highlight-default-styled-scopes-mapped-905a5b25a7	coding-agent	test-scenario	syntax-highlight.test		keeps cli-highlight default styled scopes mapped to theme styles (packages/coding-agent/test/syntax-highlight.test.ts:69)
pi-coding-agent-test-scenario-keeps-ctx-getsystemprompt-in-sync-with-chained-s-2832887a0b	coding-agent	test-scenario	extensions-runner.test		keeps ctx.getSystemPrompt() in sync with chained system prompt updates (packages/coding-agent/test/extensions-runner.test.ts:670)
pi-coding-agent-test-scenario-keeps-custom-tools-active-but-omits-them-from-av-e3710d50dd	coding-agent	test-scenario	agent-session-dynamic-tools.test		keeps custom tools active but omits them from available tools when promptSnippet is not provided (packages/coding-agent/test/agent-session-dynamic-tools.test.ts:140)
pi-coding-agent-test-scenario-keeps-cwd-relative-names-that-start-with-dots-fdb4097376	coding-agent	test-scenario	paths.test		keeps cwd-relative names that start with dots (packages/coding-agent/test/paths.test.ts:66)
pi-coding-agent-test-scenario-keeps-edit-queue-locked-while-an-aborted-edit-wr-e35a86faeb	coding-agent	test-scenario	file-mutation-queue.test		keeps edit queue locked while an aborted edit write is still in flight (packages/coding-agent/test/file-mutation-queue.test.ts:221)
pi-coding-agent-test-scenario-keeps-extension-tools-active-when-built-in-defau-add896bb31	coding-agent	test-scenario	suite		keeps extension tools active when built-in defaults are disabled (packages/coding-agent/test/suite/regressions/3592-no-builtin-tools-keeps-extension-tools.test.ts:73)
pi-coding-agent-test-scenario-keeps-first-flag-when-two-extensions-register-th-b0544f4423	coding-agent	test-scenario	extensions-runner.test		keeps first flag when two extensions register the same name (packages/coding-agent/test/extensions-runner.test.ts:617)
pi-coding-agent-test-scenario-keeps-first-tool-when-two-extensions-register-th-09fe430591	coding-agent	test-scenario	extensions-runner.test		keeps first tool when two extensions register the same name (packages/coding-agent/test/extensions-runner.test.ts:361)
pi-coding-agent-test-scenario-keeps-idle-status-at-the-same-height-as-status-i-7c3f48f070	coding-agent	test-scenario	status-indicator.test		keeps idle status at the same height as status indicators (packages/coding-agent/test/status-indicator.test.ts:11)
